PMID,Title,Authors,Journal,Publication Date,Abstract,DOI,Keywords
34281697,Artificial intelligence models for tooth-supported fixed and removable prosthodontics: A systematic review.,"Revilla-León, Marta; Gómez-Polo, Miguel; Vyas, Shantanu; Barmak, Abdul Basir; Gallucci, German O; Att, Wael; Özcan, Mutlu; Krishnamurthy, Vinayak R",The Journal of prosthetic dentistry,Feb 2023,"Artificial intelligence applications are increasing in prosthodontics. Still, the current development and performance of artificial intelligence in prosthodontic applications has not yet been systematically documented and analyzed. The purpose of this systematic review was to assess the performance of the artificial intelligence models in prosthodontics for tooth shade selection, automation of restoration design, mapping the tooth preparation finishing line, optimizing the manufacturing casting, predicting facial changes in patients with removable prostheses, and designing removable partial dentures. An electronic systematic review was performed in MEDLINE/PubMed, EMBASE, Web of Science, Cochrane, and Scopus. A manual search was also conducted. Studies with artificial intelligence models were selected based on 6 criteria: tooth shade selection, automated fabrication of dental restorations, mapping the finishing line of tooth preparations, optimizing the manufacturing casting process, predicting facial changes in patients with removable prostheses, and designing removable partial dentures. Two investigators independently evaluated the quality assessment of the studies by applying the Joanna Briggs Institute Critical Appraisal Checklist for Quasi-Experimental Studies (nonrandomized experimental studies). A third investigator was consulted to resolve lack of consensus. A total of 36 articles were reviewed and classified into 6 groups based on the application of the artificial intelligence model. One article reported on the development of an artificial intelligence model for tooth shade selection, reporting better shade matching than with conventional visual selection; 14 articles reported on the feasibility of automated design of dental restorations using different artificial intelligence models; 1 artificial intelligence model was able to mark the margin line without manual interaction with an average accuracy ranging from 90.6% to 97.4%; 2 investigations developed artificial intelligence algorithms for optimizing the manufacturing casting process, reporting an improvement of the design process, minimizing the porosity on the cast metal, and reducing the overall manufacturing time; 1 study proposed an artificial intelligence model that was able to predict facial changes in patients using removable prostheses; and 17 investigations that developed clinical decision support, expert systems for designing removable partial dentures for clinicians and educational purposes, computer-aided learning with video interactive programs for student learning, and automated removable partial denture design. Artificial intelligence models have shown the potential for providing a reliable diagnostic tool for tooth shade selection, automated restoration design, mapping the preparation finishing line, optimizing the manufacturing casting, predicting facial changes in patients with removable prostheses, and designing removable partial dentures, but they are still in development. Additional studies are needed to further develop and assess their clinical performance.",10.1016/j.prosdent.2021.06.001,
37134289,Artificial Intelligence and the Future of Dentistry.,"Stanley, Kyle","Compendium of continuing education in dentistry (Jamesburg, N.J. : 1995)",May 2023,"""Narrow"" artificial intelligence (AI), as opposed to ""general"" AI, keenly focuses on a single task and performs that task extremely well, such that it is capable of matching expert human performance in quality and far surpassing it in speed. Moreover, narrow AI uncomplainingly accepts tasks that people typically do not want to do, get tired of doing, or make mistakes doing. The AI that is projected to transform dentistry is narrow AI. It is anticipated that AI will bring similar efficiencies to dentistry as those seen in other healthcare areas. Factors that make the dental profession ripe for AI growth include the entrepreneurial and consumer-oriented nature of the profession, the fact that the focus of care is concentrated on a single area of the body, and the rising rate of practice consolidation. One of the effects of AI that is expected to improve patient care is increased consistency in dental diagnoses and treatment. This article provides a general overview of AI and its anticipated impact on the future of dentistry.",,
34343070,Use of Artificial Intelligence in Dentistry: Current Clinical Trends and Research Advances.,"Nguyen, Thomas T; Larrivée, Naomie; Lee, Alicia; Bilaniuk, Olexa; Durand, Robert",Journal (Canadian Dental Association),May 2021,"The field of artificial intelligence (AI) has experienced spectacular development and growth over the past two decades. With recent progress in digitized data acquisition, machine learning and computing infrastructure, AI applications are expanding into areas that were previously thought to be reserved for human experts. When applied to medicine and dentistry, AI has tremendous potential to improve patient care and revolutionize the health care field. In dentistry, AI is being investigated for a variety of purposes, specifically identification of normal and abnormal structures, diagnosis of diseases and prediction of treatment outcomes. This review describes some current and future applications of AI in dentistry.",,
38387793,Artificial Intelligence in Endodontic Education.,"Aminoshariae, Anita; Nosrat, Ali; Nagendrababu, Venkateshbabu; Dianat, Omid; Mohammad-Rahimi, Hossein; O'Keefe, Abbey W; Setzer, Frank C",Journal of endodontics,May 2024,"The future dental and endodontic education must adapt to the current digitalized healthcare system in a hyper-connected world. The purpose of this scoping review was to investigate the ways an endodontic education curriculum could benefit from the implementation of artificial intelligence (AI) and overcome the limitations of this technology in the delivery of healthcare to patients. An electronic search was carried out up to December 2023 using MEDLINE, Web of Science, Cochrane Library, and a manual search of reference literature. Grey literature, ongoing clinical trials were also searched using ClinicalTrials.gov. The search identified 251 records, of which 35 were deemed relevant to artificial intelligence (AI) and Endodontic education. Areas in which AI might aid students with their didactic and clinical endodontic education were identified as follows: 1) radiographic interpretation; 2) differential diagnosis; 3) treatment planning and decision-making; 4) case difficulty assessment; 5) preclinical training; 6) advanced clinical simulation and case-based training, 7) real-time clinical guidance; 8) autonomous systems and robotics; 9) progress evaluation and personalized education; 10) calibration and standardization. AI in endodontic education will support clinical and didactic teaching through individualized feedback; enhanced, augmented, and virtually generated training aids; automated detection and diagnosis; treatment planning and decision support; and AI-based student progress evaluation, and personalized education. Its implementation will inarguably change the current concept of teaching Endodontics. Dental educators would benefit from introducing AI in clinical and didactic pedagogy; however, they must be aware of AI's limitations and challenges to overcome.",10.1016/j.joen.2024.02.011,Artificial intelligence (AI); education; endodontics; healthcare; pedagogy
39311453,Trustworthy Artificial Intelligence in Dentistry: Learnings from the EU AI Act.,"Ducret, M; Wahal, E; Gruson, D; Amrani, S; Richert, R; Mouncif-Moungache, M; Schwendicke, F",Journal of dental research,Oct 2024,"Artificial intelligence systems (AISs) gain relevance in dentistry, encompassing diagnostics, treatment planning, patient management, and therapy. However, questions about the generalizability, fairness, and transparency of these systems remain. Regulatory and governance bodies worldwide are aiming to address these questions using various frameworks. On March 13, 2024, members of the European Parliament approved the Artificial Intelligence Act (AIA), which emphasizes trustworthiness and human-centeredness as relevant aspects to regulate AISs beyond safety and efficacy. This review presents the AIA and similar regulatory and governance efforts in other jurisdictions and lays out that regulations such as the AIA are part of a complex ecosystem of interdependent and interwoven legal requirements and standards. Current efforts to regulate dental AISs require active input from the dental community, with participation of dental research, education, providers, and patients being relevant to shape the future of dental AISs.",10.1016/j.jdent.2022.104344,Europe; algorithms; biomedical ethics; deep learning; machine learning; regulation
34233515,Current applications and development of artificial intelligence for digital dental radiography.,"Putra, Ramadhan Hardani; Doi, Chiaki; Yoda, Nobuhiro; Astuti, Eha Renwi; Sasaki, Keiichi",Dento maxillo facial radiology,01 Jan 2022,"In the last few years, artificial intelligence (AI) research has been rapidly developing and emerging in the field of dental and maxillofacial radiology. Dental radiography, which is commonly used in daily practices, provides an incredibly rich resource for AI development and attracted many researchers to develop its application for various purposes. This study reviewed the applicability of AI for dental radiography from the current studies. Online searches on PubMed and IEEE Xplore databases, up to December 2020, and subsequent manual searches were performed. Then, we categorized the application of AI according to similarity of the following purposes: diagnosis of dental caries, periapical pathologies, and periodontal bone loss; cyst and tumor classification; cephalometric analysis; screening of osteoporosis; tooth recognition and forensic odontology; dental implant system recognition; and image quality enhancement. Current development of AI methodology in each aforementioned application were subsequently discussed. Although most of the reviewed studies demonstrated a great potential of AI application for dental radiography, further development is still needed before implementation in clinical routine due to several challenges and limitations, such as lack of datasets size justification and unstandardized reporting format. Considering the current limitations and challenges, future AI research in dental radiography should follow standardized reporting formats in order to align the research designs and enhance the impact of AI development globally.",10.1148/radiol.2017171920,Artificial intelligence; deep learning; machine learning; radiography
40195079,Artificial Intelligence in Dentistry: A Narrative Review of Diagnostic and Therapeutic Applications.,"Gao, Sizhe; Wang, Xianyun; Xia, Zhuoheng; Zhang, Huicong; Yu, Jun; Yang, Fan",Medical science monitor : international medical journal of experimental and clinical research,08 Apr 2025,"Advancements in digital and precision medicine have fostered the rapid development of artificial intelligence (AI) applications, including machine learning, artificial neural networks (ANN), and deep learning, within the field of dentistry, particularly in imaging diagnosis and treatment. This review examines the progress of AI across various domains of dentistry, focusing on its role in enhancing diagnostics and optimizing treatment for oral diseases such as endodontic disease, periodontal disease, oral implantology, orthodontics, prosthodontic treatment, and oral and maxillofacial surgery. Additionally, it discusses the emerging opportunities and challenges associated with these technologies. The findings indicate that AI can be effectively utilized in numerous aspects of oral healthcare, including prevention, early screening, accurate diagnosis, treatment plan design assistance, treatment execution, follow-up monitoring, and prognosis assessment. However, notable challenges persist, including issues related to inaccurate data annotation, limited capability for fine-grained feature expression, a lack of universally applicable models, potential biases in learning algorithms, and legal risks pertaining to medical malpractice and data privacy breaches. Looking forward, future research is expected to concentrate on overcoming these challenges to enhance the accuracy and applicability of AI in diagnosing and treating oral diseases. This review aims to provide a comprehensive overview of the current state of AI in dentistry and to identify pathways for its effective integration into clinical practice.",10.2139/ssrn.3361280,
31710003,Artificial intelligence - The next frontier in pediatric dentistry.,"Baliga, M Sudhindra",Journal of the Indian Society of Pedodontics and Preventive Dentistry,2019,,10.4103/JISPPD.JISPPD_319_19,
36269515,Artificial intelligence models for clinical usage in dentistry with a focus on dentomaxillofacial CBCT: a systematic review.,"Mureșanu, Sorana; Almășan, Oana; Hedeșiu, Mihaela; Dioșan, Laura; Dinu, Cristian; Jacobs, Reinhilde",Oral radiology,Jan 2023,"This study aimed at performing a systematic review of the literature on the application of artificial intelligence (AI) in dental and maxillofacial cone beam computed tomography (CBCT) and providing comprehensive descriptions of current technical innovations to assist future researchers and dental professionals. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses Protocols (PRISMA) Statement was followed. The study's protocol was prospectively registered. Following databases were searched, based on MeSH and Emtree terms: PubMed/MEDLINE, Embase and Web of Science. The search strategy enrolled 1473 articles. 59 publications were included, which assessed the use of AI on CBCT images in dentistry. According to the PROBAST guidelines for study design, seven papers reported only external validation and 11 reported both model building and validation on an external dataset. 40 studies focused exclusively on model development. The AI models employed mainly used deep learning models (42 studies), while other 17 papers used conventional approaches, such as statistical-shape and active shape models, and traditional machine learning methods, such as thresholding-based methods, support vector machines, k-nearest neighbors, decision trees, and random forests. Supervised or semi-supervised learning was utilized in the majority (96.62%) of studies, and unsupervised learning was used in two (3.38%). 52 publications included studies had a high risk of bias (ROB), two papers had a low ROB, and four papers had an unclear rating. Applications based on AI have the potential to improve oral healthcare quality, promote personalized, predictive, preventative, and participatory dentistry, and expedite dental procedures.",10.1109/TMI.2016.2528162,Artificial intelligence; Cone beam computed tomography; Deep learning; Dentistry
37083609,What every dentist needs to know about the use of artificial intelligence in dentistry.,"Nazemian, Suephie; Boggs, Steven T; Jimenez Ciriaco, Elvia; Abu Shakra, Heba; Jung, Esther Y; Lotfalikhan-Zand, Yasmin B; Price, Jeffery B; Bashirelahi, Nasir",General dentistry,2023,"Artificial intelligence (AI) is a division of computer science that allows machines to emulate human cognitive processes. In dentistry, AI is applied in clinical decision-making and can aid in detecting disease and predicting patterns based on existing data sets. AI can assist clinicians by quickly analyzing massive amounts of data to improve workflow, identify patterns of disease, provide risk assessment, and create individualized patient-centered treatment plans. AI has been shown to increase efficiency in the office by aiding in scheduling, tracking, and updating patient records to better organize patient data. The objective of this article is to outline the various applications of AI in different dental specialties. Applications range from business functions such as marketing, cyber security, and report writing to clinical uses such as lesion detection and surgical guidance. This review will also discuss some of the ethical considerations and drawbacks associated with implementing AI in the dental practice.",,artificial intelligence; artificial intelligence-driven remote monitoring; implant planning; predictive artificial intelligence; targeted endodontic microsurgery
39654301,Artificial intelligence applications in smile design dentistry: A scoping review.,"Baaj, Rakan E; Alangari, Talal A",Journal of prosthodontics : official journal of the American College of Prosthodontists,Apr 2025,"Artificial intelligence (AI) applications are growing in smile design and aesthetic procedures. The current expansion and performance of AI models in digital smile design applications have not yet been systematically documented and analyzed. The purpose of this review was to assess the performance of AI models in smile design, assess the criteria of points of reference using AI analysis, and assess different AI software performance. An electronic review was completed in five databases: MEDLINE/PubMed, EMBASE, World of Science, Cochrane, and Scopus. Studies that developed AI models for smile design were included. The search strategy included articles published until November 1, 2024. Two investigators independently evaluated the quality of the studies by applying the Joanna Briggs Institute (JBI) Critical Appraisal Checklist for Quasi-Experimental Studies and Textual Evidence: Expert Opinion Results. The search resulted in 2653 articles. A total of 2649 were excluded according to the exclusion criteria after reading the title, abstract, and/or full-text review. Four articles published between 2023 and 2024 were included in the present investigation. Two articles compared 2D and 3D points while one article compared the outcome of satisfaction between dentists and patients, and the last article emphasized the ethical components of using AI. The results of the studies reviewed in this paper suggest that AI-generated smile designs are not significantly different from manually created designs in terms of esthetic perception. 3D designs are more accurate than 2D designs and offer more advantages. More articles are needed in the field of AI and smile design.",10.1111/jopr.14000,AI; artificial intelligence; deep learning; smile design
40016901,[Artificial Intelligence in Dentistry: A Sign of the Times].,"Oisieva, K Sh; Rozov, R A",Stomatologiia,2025,"Artificial Intelligence (AI) has emerged as one of the most significant innovations in dentistry, enabling the efficient analysis of large volumes of data and enhancing the quality of diagnosis and treatment. Is to conduct a systematic review of the existing literature related to the application of AI in dental imaging. T. The study included works where AI was used for the analysis of dental images, with a focus on deep learning methods and convolutional neural networks. The search was conducted in six leading databases, including PubMed, IEEE Xplore and others. AI significantly improves the accuracy of diagnosing dental conditions, such as caries and periodontitis, and promotes a more personalized approach to patient treatment. However, existing studies are often limited by small data sets, highlighting the need for further research. AI has the potential to greatly enhance dental practice, but its full integration into clinical practice requires additional studies. The legal regulation of AI use is also an important aspect to consider. Искусственный интеллект (ИИ) стал одной из наиболее важных инноваций в области стоматологии, позволяя эффективно анализировать большие объемы данных и повышать качество диагностики и лечения. Провести систематический обзор существующей литературы, касающейся применения ИИ в стоматологии. В исследование включены работы, где ИИ применялся для решения проблем в стоматологии, с акцентом на методы глубокого обучения и сверточные нейронные сети. Поиск был проведен в шести ведущих базах данных, таких как PubMed, IEEE Xplore и др. ИИ существенно повышает точность диагностики стоматологических заболеваний, включая кариес и пародонтит, и способствует более персонализированному подходу к лечению. Тем не менее, существующие исследования часто ограничены небольшими объемами данных, что подчеркивает необходимость дальнейших исследований. ИИ обладает потенциалом для значительного улучшения стоматологической практики, однако его полноценное внедрение в клиническую практику требует дополнительных исследований. Важным аспектом также является правовое регулирование использования ИИ.",10.17116/stomat202510401187,artificial intelligence; convolutional neural networks; deep learning; dentistry; diagnosis; legal regulation
38847140,Applications of artificial intelligence in restorative dentistry: a scoping review.,"Aziz, Ahmed M; Hamdoon, Zaid; Husein, Adam Bin; Dheyab, Shaima; Obaid, Fajer","Quintessence international (Berlin, Germany : 1985)",28 Jun 2024,"Artificial intelligence (AI) applications in restorative dentistry have remarkably increased in the past 5 years. This review outlines the applications, promises, and limitations of AI in the most performed procedures in restorative dentistry. An electronic search was performed in four databases: MEDLINE/PubMed, Embase, Web of Science, and Scopus. The search included articles published in English language without date restriction. Two independent reviewers assessed the eligibility of the studies and performed data extraction. Any discrepancy was resolved by the consensus of a third reviewer. A total of 33 studies were included in this review. For AI applications in restorative dentistry, the included studies were classified into three main groups: (1) diagnosis, detection, and prediction of the disease, (2) detection and prediction of the longevity of dental restorations, and (3) teeth detection and treatments. For each study, the AI model, type of dataset, sample size, and main results (accuracy, precision, sensitivity, and specificity) were reported. AI systems are promising as advantageous aids for diagnosis, prediction, and treatment in dentistry, with a high degree of accuracy. Despite the AI promises, several limitations are still unresolved and must be addressed to bridge the gap between technology and clinical applications.",10.3290/j.qi.b5437507,artificial intelligence; dental caries; dental prostheses; dental restoration failure; machine learning
37986239,Artificial intelligence systems in dental shade-matching: A systematic review.,"Shetty, Sthithika; Gali, Sivaranjani; Augustine, Dominic; Sv, Sowmya",Journal of prosthodontics : official journal of the American College of Prosthodontists,Jul 2024,"Uses for artificial intelligence (AI) are being explored in contemporary dentistry, but artificial intelligence in dental shade-matching has not been systematically reviewed and evaluated. The purpose of this systematic review was to evaluate the accuracy of artificial intelligence in predicting dental shades in restorative dentistry. A systematic electronic search was performed with the databases MEDLINE (PubMed), Scopus, Cochrane Library, and Google Scholar. A manual search was also conducted. All titles and abstracts were subject to the inclusion criteria of observational, interventional studies, and studies published in the English language. Narrative reviews, systematic reviews, case reports, case series, letters to the editor, commentaries, studies that were not AI-based, studies that were not related to dentistry, and studies that were related to other disciplines in dentistry, other than restorative dentistry (prosthodontics and endodontics) were excluded. Two investigators independently evaluated the quality assessment of the studies by applying the Joanna Briggs Institute Critical Appraisal Checklist for Quasi-Experimental Studies (non-randomized experimental studies). A third investigator was consulted to resolve the lack of consensus. Fifty-three articles were initially found from all the searches combined from articles published from 2008 till March 2023. A total of 15 articles met the inclusion criteria and were included in the systematic review. AI algorithms for shade-matching include fuzzy logic, a genetic algorithm with back-propagation neural network, back-propagation neural networks, convolutional neural networks, artificial neural networks, support vector machine algorithms, K-nearest neighbor with decision tree and random forest, deep learning for detection of dental prostheses based on object-detection applications, You Only Look Once-YOLO. Moment invariant was used for feature extraction.  XG (Xtreme Gradient) Boost was used in one study as a gradient-boosting machine learning algorithm. The highest accuracy in the prediction of dental shades was the decision tree regression model for leucite-based dental ceramics of 99.7% followed by the fuzzy decision of 99.62%, and support vector machine using cross-validation of 97%. Lighting conditions, shade-matching devices and color space models, and the type of AI algorithm influence the accuracy of the prediction of dental shades. Knowledge-based systems and neural networks have shown better accuracy in predicting dental shades.",10.1111/jopr.13805,artificial intelligence; deep learning; dental shades; dental shade‐matching; machine learning; neural networks; prosthesis coloring
37270174,What is the current state of artificial intelligence applications in dentistry and orthodontics?,"Fawaz, Paul; Sayegh, Patrick El; Vannet, Bart Vande","Journal of stomatology, oral and maxillofacial surgery",Oct 2023,"The use of Artificial Intelligence (AI) in the medical field has the potential to bring about significant improvements in patient care and outcomes. AI is being used in dentistry and more specifically in orthodontics through the development of diagnostic imaging tools, the development of treatment planning tools, and the development of robotic surgery. The aim of this study is to present the latest emerging AI softwares and applications in dental field to benefit from. Search strategies were conducted in three electronic databases, with no date limits in the following databases up to April 30, 2023: MEDLINE, PUBMED, and GOOGLE® SCHOLAR for articles related to AI in dentistry & orthodontics. No inclusion and exclusion criteria were used for the selection of the articles. Most of the articles included (n = 79) are reviews of the literature, retro/prospective studies, systematic reviews and meta-analyses, and observational studies. The use of AI in dentistry and orthodontics is a rapidly growing area of research and development, with the potential to revolutionize the field and bring about significant improvements in patient care and outcomes; this can save clinicians' chair-time and push for more individualized treatment plans. Results from the various studies reported in this review are suggestive that the accuracy of AI-based systems is quite promising and reliable. AI application in the healthcare field has proven to be efficient and helpful for the dentist to be more precise in diagnosis and clinical decision-making. These systems can simplify the tasks and provide results in quick time which can save dentists time and help them perform their duties more efficiently. These systems can be of greater aid and can be used as auxiliary support for dentists with lesser experience.",10.1016/j.jormas.2023.101524,Artificial intelligence; CBCT; Orthodontic diagnosis; Orthodontic treatment plan; Orthognatic surgery; Surgical treatment
34270881,Artificial intelligence in orthodontics: Where are we now? A scoping review.,"Monill-González, Anna; Rovira-Calatayud, Laia; d'Oliveira, Nuno Gustavo; Ustrell-Torrent, Josep M",Orthodontics & craniofacial research,Dec 2021,"This scoping review aims to determine the applications of Artificial Intelligence (AI) that are extensively employed in the field of Orthodontics, to evaluate its benefits, and to discuss its potential implications in this speciality. Recent decades have witnessed enormous changes in our profession. The arrival of new and more aesthetic options in orthodontic treatment, the transition to a fully digital workflow, the emergence of temporary anchorage devices and new imaging methods all provide both patients and professionals with a new focus in orthodontic care. This review was performed following the Preferred Reporting Items for Systematic reviews and Meta-Analyses extension for Scoping Reviews (PRISMA-ScR) guidelines. The electronic literature search was performed through MEDLINE/PubMed, Scopus, Web of Science, Cochrane and IEEE Xplore databases with a 11-year time restriction: January 2010 till March 2021. No additional manual searches were performed. The electronic literature search initially returned 311 records, and 115 after removing duplicate references. Finally, the application of the inclusion criteria resulted in 17 eligible publications in the qualitative synthesis review. The analysed studies demonstrated that Convolution Neural Networks can be used for the automatic detection of anatomical reference points on radiological images. In the growth and development research area, the Cervical Vertebral Maturation stage can be determined using an Artificial Neural Network model and obtain the same results as expert human observers. AI technology can also improve the diagnostic accuracy for orthodontic treatments, thereby helping the orthodontist work more accurately and efficiently.",10.1111/ocr.12517,artificial intelligence; machine learning; orthodontics; review
37532677,Applications of artificial intelligence in special care dentistry.,"Hassona, Yazan","Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",2024,,10.1111/scd.12911,
34640948,The Use and Performance of Artificial Intelligence in Prosthodontics: A Systematic Review.,"Bernauer, Selina A; Zitzmann, Nicola U; Joda, Tim","Sensors (Basel, Switzerland)",05 Oct 2021,"(1) Background: The rapid pace of digital development in everyday life is also reflected in dentistry, including the emergence of the first systems based on artificial intelligence (AI). This systematic review focused on the recent scientific literature and provides an overview of the application of AI in the dental discipline of prosthodontics. (2) Method: According to a modified PICO-strategy, an electronic (MEDLINE, EMBASE, CENTRAL) and manual search up to 30 June 2021 was carried out for the literature published in the last five years reporting the use of AI in the field of prosthodontics. (3) Results: 560 titles were screened, of which 30 abstracts and 16 full texts were selected for further review. Seven studies met the inclusion criteria and were analyzed. Most of the identified studies reported the training and application of an AI system (",10.1371/journal.pone.0043312,artificial intelligence; deep learning; machine learning; neural networks; prosthetic treatment; reconstructive dentistry
38822561,The Use of Artificial Intelligence in Endodontics.,"Setzer, F C; Li, J; Khan, A A",Journal of dental research,Aug 2024,"Endodontics is the dental specialty foremost concerned with diseases of the pulp and periradicular tissues. Clinicians often face patients with varying symptoms, must critically assess radiographic images in 2 and 3 dimensions, derive complex diagnoses and decision making, and deliver sophisticated treatment. Paired with low intra- and interobserver agreement for radiographic interpretation and variations in treatment outcome resulting from nonstandardized clinical techniques, there exists an unmet need for support in the form of artificial intelligence (AI), providing automated biomedical image analysis, decision support, and assistance during treatment. In the past decade, there has been a steady increase in AI studies in endodontics but limited clinical application. This review focuses on critically assessing the recent advancements in endodontic AI research for clinical applications, including the detection and diagnosis of endodontic pathologies such as periapical lesions, fractures and resorptions, as well as clinical treatment outcome predictions. It discusses the benefits of AI-assisted diagnosis, treatment planning and execution, and future directions including augmented reality and robotics. It critically reviews the limitations and challenges imposed by the nature of endodontic data sets, AI transparency and generalization, and potential ethical dilemmas. In the near future, AI will significantly affect the everyday endodontic workflow, education, and continuous learning.",10.1016/j.ijmedinf.2022.104828,computer vision/convolutional neural networks; cracked teeth; decision making; deep learning/machine learning; diagnostic systems; treatment planning
35757486,Cephalometric Analysis in Orthodontics Using Artificial Intelligence-A Comprehensive Review.,"Subramanian, Aravind Kumar; Chen, Yong; Almalki, Abdullah; Sivamurthy, Gautham; Kafle, Dashrath",BioMed research international,2022,"Artificial intelligence (AI) is a branch of science concerned with developing programs and computers that can gather data, reason about it, and then translate it into intelligent actions. AI is a broad area that includes reasoning, typical linguistic dispensation, machine learning, and planning. In the area of medicine and dentistry, machine learning is currently the most widely used AI application. This narrative review is aimed at giving an outline of cephalometric analysis in orthodontics using AI. Latest algorithms are developing rapidly, and computational resources are increasing, resulting in increased efficiency, accuracy, and reliability. Current techniques for completely automatic identification of cephalometric landmarks have considerably improved efficiency and growth prospects for their regular use. The primary considerations for effective orthodontic treatment are an accurate diagnosis, exceptional treatment planning, and good prognosis estimation. The main objective of the AI technique is to make dentists' work more precise and accurate. AI is increasingly being used in the area of orthodontic treatment. It has been evidenced to be a time-saving and reliable tool in many ways. AI is a promising tool for facilitating cephalometric tracing in routine clinical practice and analyzing large databases for research purposes.",10.1126/science.1411538,
31633462,Evolution of Aesthetic Dentistry.,"Blatz, M B; Chiche, G; Bahat, O; Roblee, R; Coachman, C; Heymann, H O",Journal of dental research,Nov 2019,"One of the main goals of dental treatment is to mimic teeth and design smiles in a most natural and aesthetic manner, based on the individual and specific needs of the patient. Possibilities to reach that goal have significantly improved over the last decade through new and specific treatment modalities, steadily enhanced and more aesthetic dental materials, and novel techniques and technologies. This article gives an overview of the evolution of aesthetic dentistry over the past 100 y from a historical point of view and highlights advances in the development of dental research and clinical interventions that have contributed the science and art of aesthetic dentistry. Among the most noteworthy advancements over the past decade are the establishment of universal aesthetic rules and guidelines based on the assessment of natural aesthetic parameters, anatomy, and physiognomy; the development of tooth whitening and advanced restorative as well as prosthetic materials and techniques, supported by the pioneering discovery of dental adhesion; the significant progress in orthodontics and periodontal as well as oral and maxillofacial surgery; and, most recently, the implementation of digital technologies in the 3-dimensional planning and realization of truly natural, individual, and aesthetic smiles. In the future, artificial intelligence and machine learning will likely lead to automation of aesthetic evaluation, smile design, and treatment-planning processes.",10.1177/0022034519875450,cosmetic dentistry; maxillofacial surgery; orthodontic(s); periodontal medicine; prosthetic dentistry/prosthodontics; restorative dentistry
38402191,Artificial intelligence for radiographic imaging detection of caries lesions: a systematic review.,"Albano, Domenico; Galiano, Vanessa; Basile, Mariachiara; Di Luca, Filippo; Gitto, Salvatore; Messina, Carmelo; Cagetti, Maria Grazia; Del Fabbro, Massimo; Tartaglia, Gianluca Martino; Sconfienza, Luca Maria",BMC oral health,24 Feb 2024,"The aim of this systematic review is to evaluate the diagnostic performance of Artificial Intelligence (AI) models designed for the detection of caries lesion (CL). An electronic literature search was conducted on PubMed, Web of Science, SCOPUS, LILACS and Embase databases for retrospective, prospective and cross-sectional studies published until January 2023, using the following keywords: artificial intelligence (AI), machine learning (ML), deep learning (DL), artificial neural networks (ANN), convolutional neural networks (CNN), deep convolutional neural networks (DCNN), radiology, detection, diagnosis and dental caries (DC). The quality assessment was performed using the guidelines of QUADAS-2. Twenty articles that met the selection criteria were evaluated. Five studies were performed on periapical radiographs, nine on bitewings, and six on orthopantomography. The number of imaging examinations included ranged from 15 to 2900. Four studies investigated ANN models, fifteen CNN models, and two DCNN models. Twelve were retrospective studies, six cross-sectional and two prospective. The following diagnostic performance was achieved in detecting CL: sensitivity from 0.44 to 0.86, specificity from 0.85 to 0.98, precision from 0.50 to 0.94, PPV (Positive Predictive Value) 0.86, NPV (Negative Predictive Value) 0.95, accuracy from 0.73 to 0.98, area under the curve (AUC) from 0.84 to 0.98, intersection over union of 0.3-0.4 and 0.78, Dice coefficient 0.66 and 0.88, F1-score from 0.64 to 0.92. According to the QUADAS-2 evaluation, most studies exhibited a low risk of bias. AI-based models have demonstrated good diagnostic performance, potentially being an important aid in CL detection. Some limitations of these studies are related to the size and heterogeneity of the datasets. Future studies need to rely on comparable, large, and clinically meaningful datasets. PROSPERO identifier: CRD42023470708.",10.21037/atm-21-2197,Artificial intelligence; Caries lesion; Detection; Diagnosis; Radiographic imaging
39093229,Artificial intelligence applications in dentistry: A bibliometric review with an emphasis on computational research trends within the field.,"Zatt, Fernanda Pretto; Rocha, Aurélio de Oliveira; Anjos, Lucas Menezes Dos; Caldas, Ricardo Armini; Cardoso, Mariane; Rabelo, Gustavo Davi",Journal of the American Dental Association (1939),Sep 2024,"The aim of this study was to understand the trends regarding the use of artificial intelligence in dentistry through a bibliometric review. The authors performed a literature search on Web of Science. They collected the following data: articles-number and density of citations, year, key words, language, document type, study design, and theme (main objective, diagnostic method, and specialties); journals-impact factor; authors-country, continent, and institution. The authors used Visualization of Similarities Viewer software (Leiden University) to analyze the data and Spearman test for correlation analysis. After selection, 1,478 articles were included. The number of citations ranged from 0 through 327. The articles were published from 1984 through 2024. Most articles were characterized as proof of concept (979). Definition and classification of structures and diseases was the most common theme (550 articles). There was an emphasis on radiology (333 articles) and radiographic-based diagnostic methods (715 articles). China was the country with the most articles (251), and Asia was the continent with the most articles (871). The Charité-University of Medicine Berlin was the institution with the most articles (42), and the author with the most articles was Schwendicke (53). Artificial intelligence is an important clinical tool to facilitate diagnosis and provide automation in various processes.",10.1016/j.adaj.2024.05.013,Deep learning; bibliometrics; dentistry; machine learning
