Abstract,Authors,DOI,Issue,Journal,Journal Country,Journal ISSN,Keywords,Language,PMID,Pages,Publication Date,Publication Type,Title,Volume
N/A,Mupparapu M; Wu CW; Chen YC,10.3290/j.qi.a41107 [doi],9,"Quintessence international (Berlin, Germany : 1985)",Germany,1936-7163 (Electronic) 0033-6572 (Linking),"Artificial Intelligence/*trends; Deep Learning/*trends; Dental Care/*trends; Diagnosis, Oral/*trends; Humans; Machine Learning",eng,30202834,687-688,2018,Editorial,"Artificial intelligence, machine learning, neural networks, and deep learning: Futuristic concepts for new dental diagnosis.",49
"OBJECTIVES: Deep convolutional neural networks (CNNs) are a rapidly emerging new area of medical research, and have yielded impressive results in diagnosis and prediction in the fields of radiology and pathology. The aim of the current study was to evaluate the efficacy of deep CNN algorithms for detection and diagnosis of dental caries on periapical radiographs. MATERIALS AND METHODS: A total of 3000 periapical radiographic images were divided into a training and validation dataset (n = 2400 [80%]) and a test dataset (n = 600 [20%]). A pre-trained GoogLeNet Inception v3 CNN network was used for preprocessing and transfer learning. The diagnostic accuracy, sensitivity, specificity, positive predictive value, negative predictive value, receiver operating characteristic (ROC) curve, and area under the curve (AUC) were calculated for detection and diagnostic performance of the deep CNN algorithm. RESULTS: The diagnostic accuracies of premolar, molar, and both premolar and molar models were 89.0% (80.4-93.3), 88.0% (79.2-93.1), and 82.0% (75.5-87.1), respectively. The deep CNN algorithm achieved an AUC of 0.917 (95% CI 0.860-0.975) on premolar, an AUC of 0.890 (95% CI 0.819-0.961) on molar, and an AUC of 0.845 (95% CI 0.790-0.901) on both premolar and molar models. The premolar model provided the best AUC, which was significantly greater than those for other models (P < 0.001). CONCLUSIONS: This study highlighted the potential utility of deep CNN architecture for the detection and diagnosis of dental caries. A deep CNN algorithm provided considerably good performance in detecting dental caries in periapical radiographs. CLINICAL SIGNI fi CANCE: Deep CNN algorithms are expected to be among the most effective and efficient methods for diagnosing dental caries.",Lee JH; Kim DH; Jeong SN; Choi SH,S0300-5712(18)30225-2 [pii] 10.1016/j.jdent.2018.07.015 [doi],N/A,Journal of dentistry,England,1879-176X (Electronic) 0300-5712 (Linking),"Algorithms; *Deep Learning; Dental Caries/*diagnosis; Humans; *Neural Networks, Computer; ROC Curve",eng,30056118,106-111,2018 Oct,"Journal Article; Research Support, Non-U.S. Gov't",Detection and diagnosis of dental caries using a deep learning-based convolutional neural network algorithm.,77
N/A,Ducret M; Morch CM,10.1016/j.jds.2022.12.003 [doi],3,Journal of dental sciences,Netherlands,2213-8862 (Electronic) 1991-7902 (Print) 1991-7902 (Linking),N/A,eng,37404652,1409-1410,2023 Jul,Journal Article,Focus on artificial intelligence ethics in dentistry.,18
"Artificial intelligence is much in the news. One issue is whether it might be a useful tool for dental research. This paper provides ad overview of AI and explores its usefulness in some simple history of dentistry topics, including potential dangers.",Gelbier S; Gelbier D,10.58929/jhd.2024.072.02.168 [doi],2,Journal of the history of dentistry,United States,1089-6287 (Print) 1089-6287 (Linking),"*Artificial Intelligence/history; History, 20th Century; History, 19th Century; History of Dentistry; Humans; Dental Research/history; History, 18th Century; History, 21st Century",eng,39180737,168-172,2024 Summer/Fall,Historical Article; Journal Article,Artificial Intelligence and the Research and Reporting of Dental History.,72
"Apical periodontitis (AP) is one of the most prevalent disorders in dentistry. However, it can be underdiagnosed in asymptomatic patients. In addition, the perioperative evaluation of 3-dimensional (3D) lesion volume is of great clinical relevance, but the required slice-by-slice manual delineation method is time- and labor-intensive. Here, for quickly and accurately detecting and segmenting periapical lesions (PALs) associated with AP on cone beam computed tomography (CBCT) images, we proposed and geographically validated a novel 3D deep convolutional neural network algorithm, named PAL-Net. On the internal 5-fold cross-validation set, our PAL-Net achieved an area under the receiver operating characteristic curve (AUC) of 0.98. The algorithm also improved the diagnostic performance of dentists with varying levels of experience, as evidenced by their enhanced average AUC values (junior dentists: 0.89-0.94; senior dentists: 0.91-0.93), and significantly reduced the diagnostic time (junior dentists: 69.3 min faster; senior dentists: 32.4 min faster). Moreover, our PAL-Net achieved an average Dice similarity coefficient over 0.87 (0.85-0.88), which is superior or comparable to that of other existing state-of-the-art PAL segmentation algorithms. Furthermore, we validated the generalizability of the PAL-Net system using multiple external data sets from Central, East, and North China, showing that our PAL-Net has strong robustness. Our PAL-Net can help improve the diagnostic performance and speed of dentists working from CBCT images, provide clinically relevant volume information to dentists, and can potentially be applied in dental clinics, especially without expert-level dentists or radiologists.",Fu WT; Zhu QK; Li N; Wang YQ; Deng SL; Chen HP; Shen J; Meng LY; Bian Z,10.1177/00220345231201793 [doi],1,Journal of dental research,United States,1544-0591 (Electronic) 0022-0345 (Linking),"Humans; *Spiral Cone-Beam Computed Tomography; Algorithms; Neural Networks, Computer; Cone-Beam Computed Tomography; *Periapical Periodontitis/diagnostic imaging/pathology; Image Processing, Computer-Assisted/methods",eng,37968798,5-12,2024 Jan,"Journal Article; Research Support, Non-U.S. Gov't",Clinically Oriented CBCT Periapical Lesion Evaluation via 3D CNN Algorithm.,103
N/A,Elani HW; Giannobile WV,10.1001/jamahealthforum.2024.0642 [doi],4,JAMA health forum,United States,2689-0186 (Electronic) 2689-0186 (Linking),*Artificial Intelligence; *Health Inequities,eng,38639979,e240642,2024 Apr 5,Journal Article,Harnessing Artificial Intelligence to Address Oral Health Disparities.,5
"ARTICLE TITLE AND BIBLIOGRAPHIC INFORMATION: Artificial intelligence applications in restorative dentistry: A systematic review. Revilla-Leon, M., Gomez-Polo, M., Vyas, S., Barmak, A. B., Ozcan, M., Att, W., & Krishnamurthy, V. R. J Prosthet Dent 2021 SOURCE OF FUNDING: Not reported. TYPE OF STUDY/DESIGN: Systematic review.",Alqutaibi AY; Aboalrejal AN,S1532-3382(23)00008-8 [pii] 10.1016/j.jebdp.2023.101837 [doi],1,The journal of evidence-based dental practice,United States,1532-3390 (Electronic) 1532-3382 (Linking),Humans; *Artificial Intelligence; *Dentistry; Systematic Reviews as Topic,eng,36914305,101837,2023 Mar,Comment; Journal Article,"ARTIFICIAL INTELLIGENCE (AI) AS AN AID IN RESTORATIVE DENTISTRY IS PROMISING, BUT STILL A WORK IN PROGRESS.",23
N/A,Sirko J; Shi W,S0002-8177(24)00394-5 [pii] 10.1016/j.adaj.2024.07.013 [doi],10,Journal of the American Dental Association (1939),England,1943-4723 (Electronic) 0002-8177 (Linking),Humans; *Dentistry/trends; Organizational Innovation; Diffusion of Innovation,eng,39384257,899-901,2024 Oct,Journal Article,Disruptive innovation events in dentistry.,155
"ARTICLE TITLE AND BIBLIOGRAPHIC INFORMATION: Revilla-Leon M, Gomez-Polo M, Vyas S, Barmak BA, Galluci GO,Att W, Krishnamurthy VR. J. Artificial intelligence applications in implant dentistry: A systematic review. J Prosthet Dent 2021:(21);S0022-3913. SOURCE OF FUNDING: Note reported. TYPE OF STUDY/DESIGN: Systematic review.",Alqutaibi AY,S1532-3382(23)00007-6 [pii] 10.1016/j.jebdp.2023.101836 [doi],1,The journal of evidence-based dental practice,United States,1532-3390 (Electronic) 1532-3382 (Linking),Humans; *Artificial Intelligence; *Dental Implants; Systematic Reviews as Topic,eng,36914300,101836,2023 Mar,Comment; Journal Article,"ARTIFICIAL INTELLIGENCE MODELS SHOW POTENTIAL IN RECOGNIZING THE DENTAL IMPLANT TYPE, PREDICTING IMPLANT SUCCESS, AND OPTIMIZING IMPLANT DESIGN.",23
"Artificial intelligence (AI) has the potential to revolutionize healthcare and dentistry. Recently, there has been much interest in the development of AI applications. Dentomaxillofacial radiology (DMFR) is within the scope of these applications due to its compatibility with image processing methods. Classification and segmentation of teeth, automatic marking of anatomical structures and cephalometric analysis, determination of early dental diseases, gingival, periodontal diseases and evaluation of risk groups, diagnosis of certain diseases, such as; osteoporosis that can be detected in jaw radiographs are among studies conducted by using radiological images. Further research in the field of AI will make great contributions to DMFR. We aim to discuss most recent AI-based studies in the field of DMFR.",Gokdeniz ST; Kamburoglu K,10.4329/wjr.v14.i3.55 [doi],3,World journal of radiology,United States,1949-8470 (Print) 1949-8470 (Electronic) 1949-8470 (Linking),N/A,eng,35432776,55-59,2022 Mar 28,Editorial,Artificial intelligence in dentomaxillofacial radiology.,14
"Artificial intelligence (AI) has grown tremendously in the past decade. The application of AI in teledentistry can reform the way dental care, dental education, research, and subsequent innovations can happen remotely. Machine learning including deep learning-based algorithms can be developed to create predictive models of risk assessment for oral health related conditions, consequent complications, and patient stratification. Patients can be empowered to self-diagnose and apply preventive measures or self-manage some early stages of dental diseases. Applications of AI in teledentistry can be beneficial for both, the dental surgeon and the patient. AI enables better remote screening, diagnosis, record keeping, triaging, and monitoring of dental patients based on smart devices. This will take away rudimentary cases requiring run-of-the-mill treatments from dentists and enable them to concentrate on highly complex cases. This would also enable the dentists to serve a larger and deprived population in inaccessible areas. Its usage in teledentistry can bring a paradigm shift from curative to preventive personalised approach in dentistry. A strong asset to teledentistry could be a robust and comprehensive feedback mechanism routed through various channels proposed in this paper. This paper discusses the application of AI in teledentistry and proposes a feedback mechanism to enhance performance in teledentistry.",Batra P; Tagra H; Katyal S,10.15190/d.2022.12 [doi] 153,3,"Discoveries (Craiova, Romania)",Romania,2359-7232 (Electronic) 2359-7232 (Linking),N/A,eng,36530958,153,2022 Jul-Sep,Journal Article; Review,Artificial Intelligence in Teledentistry.,10
This article introduces the basic principles of virtually guided dental implant restoration in complex clinical scenarios. An effective workflow for digital dentistry in full-arch reconstruction applications is discussed and highlights cases in which virtual surgical planning has enabled dental rehabilitation complex dentoalveolar defects. This study also explores challenges and future directions within the field on virtual surgical planning in dental implantology.,Broumand V; Merino EJ; Pero TD; Lee S; Portnof J; Caceres J; Gruber R,S1042-3699(24)00084-0 [pii] 10.1016/j.coms.2024.10.001 [doi],N/A,Oral and maxillofacial surgery clinics of North America,United States,1558-1365 (Electronic) 1042-3699 (Linking),N/A,eng,40044529,N/A,2025 Mar 4,Journal Article; Review,Optimizing Surgical and Prosthetic Full-Arch Cases Utilizing Virtual Surgical Planning.,N/A
N/A,Joda T; Spallek H,10.3389/froh.2023.1155166 [doi] 1155166,N/A,Frontiers in oral health,Switzerland,2673-4842 (Electronic) 2673-4842 (Linking),N/A,eng,36960387,1155166,2023,Editorial,Editorial: Precision dentistry and ehealth in oral healthcare.,4
"Artificial Intelligence (AI) is the ability of machines to perform tasks that normally require human intelligence. AI is not a new term, the concept of AI can be dated back to 1950. However, it did not become a practical tool until two decades ago. Owing to the rapid development of three cornerstones of current AI technology-big data (coming through digital devices), computational power, and AI algorithm-in the past two decades, AI applications have started to provide convenience to people's lives. In dentistry, AI has been adopted in all dental disciplines, i.e., operative dentistry, periodontics, orthodontics, oral and maxillofacial surgery, and prosthodontics. The majority of the AI applications in dentistry are for diagnosis based on radiographic or optical images, while other tasks are not as applicable as image-based tasks mainly due to the constraints of data availability, data uniformity, and computational power for handling 3D data. Evidence-based dentistry (EBD) is regarded as the gold standard for decision making by dental professionals, while AI machine learning (ML) models learn from human expertise. ML can be seen as another valuable tool to assist dental professionals in multiple stages of clinical cases. This review describes the history and classification of AI, summarizes AI applications in dentistry, discusses the relationship between EBD and ML, and aims to help dental professionals better understand AI as a tool to support their routine work with improved efficiency.",Ding H; Wu J; Zhao W; Matinlinna JP; Burrow MF; Tsoi JKH,10.3389/fdmed.2023.1085251 [doi] 1085251,N/A,Frontiers in dental medicine,Switzerland,2673-4915 (Electronic) 2673-4915 (Linking),N/A,eng,39935549,1085251,2023,Journal Article; Review,Artificial intelligence in dentistry-A review.,4
N/A,Tseng MH; Lin PR; Lin YC; Lin WC,10.1016/j.jds.2025.02.004 [doi],2,Journal of dental sciences,Netherlands,2213-8862 (Electronic) 1991-7902 (Print) 1991-7902 (Linking),N/A,eng,40224035,1300-1302,2025 Apr,Journal Article,Exploring the applications of artificial intelligence in various commercial dental professional software.,20
N/A,Lavigne SE,N/A,1,Canadian journal of dental hygiene : CJDH = Journal canadien de l'hygiene dentaire : JCHD,Canada,1712-171X (Print) 1712-1728 (Electronic) 1712-171X (Linking),N/A,eng,40160411,3-6,2025 Feb,Editorial,Artificial intelligence in oral health care: Friend or foe?,59
"ARTICLE TITLE AND BIBLIOGRAPHIC INFORMATION: Shetty, S., et al. (2023). ""Artificial intelligence systems in dental shade-matching: A systematic review."" J Prosthodont. DOI: 10.1111/jopr.13805. SOURCE OF FUNDING: Information not available. TYPE OF STUDY/DESIGN: Systematic review.",Alqutaibi AY,S1532-3382(24)00092-7 [pii] 10.1016/j.jebdp.2024.102042 [doi],4,The journal of evidence-based dental practice,United States,1532-3390 (Electronic) 1532-3382 (Linking),"Humans; *Artificial Intelligence; Color; Dental Prosthesis Design; Dental Restoration, Permanent/methods; Prosthesis Coloring; Systematic Reviews as Topic",eng,39631965,102042,2024 Dec,Comment; Journal Article,"ARTIFICIAL INTELLIGENCE IN DENTAL SHADE-MATCHING SHOWS PROMISING POTENTIAL FOR PRECISION IN RESTORATIVE DENTISTRY, THOUGH REQUIRING FURTHER IMPROVEMENT.",24
N/A,Schwendicke F; Marazita ML,10.1177/00220345221120564 [doi],11,Journal of dental research,United States,1544-0591 (Electronic) 0022-0345 (Print) 0022-0345 (Linking),*Artificial Intelligence; *Machine Learning,eng,36154724,1255-1257,2022 Oct,Editorial,"Data-Driven Dental, Oral, and Craniofacial Analytics: Here to Stay.",101
"The application of artificial intelligence (AI) based on deep learning in dental diagnostic imaging is increasing. Several popular deep learning tasks have been applied to dental diagnostic images. Classification tasks are used to classify images with and without positive abnormal findings or to evaluate the progress of a lesion based on imaging findings. Region (object) detection and segmentation tasks have been used for tooth identification in panoramic radiographs. This technique is useful for automatically creating a patient's dental chart. Deep learning methods can also be used for detecting and evaluating anatomical structures of interest from images. Furthermore, generative AI based on natural language processing can automatically create written reports from the findings of diagnostic imaging.",Katsumata A,10.1016/j.jdsr.2023.09.004 [doi],N/A,The Japanese dental science review,Netherlands,1882-7616 (Print) 2213-6851 (Electronic) 1882-7616 (Linking),N/A,eng,37811196,329-333,2023 Dec,Journal Article; Review,Deep learning and artificial intelligence in dental diagnostic imaging.,59
"Advancements in digital and precision medicine have fostered the rapid development of artificial intelligence (AI) applications, including machine learning, artificial neural networks (ANN), and deep learning, within the field of dentistry, particularly in imaging diagnosis and treatment. This review examines the progress of AI across various domains of dentistry, focusing on its role in enhancing diagnostics and optimizing treatment for oral diseases such as endodontic disease, periodontal disease, oral implantology, orthodontics, prosthodontic treatment, and oral and maxillofacial surgery. Additionally, it discusses the emerging opportunities and challenges associated with these technologies. The findings indicate that AI can be effectively utilized in numerous aspects of oral healthcare, including prevention, early screening, accurate diagnosis, treatment plan design assistance, treatment execution, follow-up monitoring, and prognosis assessment. However, notable challenges persist, including issues related to inaccurate data annotation, limited capability for fine-grained feature expression, a lack of universally applicable models, potential biases in learning algorithms, and legal risks pertaining to medical malpractice and data privacy breaches. Looking forward, future research is expected to concentrate on overcoming these challenges to enhance the accuracy and applicability of AI in diagnosing and treating oral diseases. This review aims to provide a comprehensive overview of the current state of AI in dentistry and to identify pathways for its effective integration into clinical practice.",Gao S; Wang X; Xia Z; Zhang H; Yu J; Yang F,10.12659/MSM.946676 [doi] e946676,N/A,Medical science monitor : international medical journal of experimental and clinical research,United States,1643-3750 (Electronic) 1234-1010 (Print) 1234-1010 (Linking),"Humans; *Artificial Intelligence/trends; *Dentistry/methods/trends; Neural Networks, Computer; Deep Learning; Machine Learning",eng,40195079,e946676,2025 Apr 8,Journal Article; Review,Artificial Intelligence in Dentistry: A Narrative Review of Diagnostic and Therapeutic Applications.,31
"Over the last few years, translational applications of so-called artificial intelligence in the field of medicine have garnered a significant amount of interest. The present article aims to review existing dental literature that has examined deep learning, a subset of machine learning that has demonstrated the highest performance when applied to image processing and that has been tested as a formidable diagnostic support tool through its automated analysis of radiographic/photographic images. Furthermore, the article will critically evaluate the literature to describe potential methodological weaknesses of the studies and the need for further development. This review includes 28 studies that have described the applications of deep learning in various fields of dentistry. Research into the applications of deep learning in dentistry contains claims of its high accuracy. Nonetheless, many of these studies have substantial limitations and methodological issues (e.g., examiner reliability, the number of images used for training/testing, the methods used for validation) that have significantly limited the external validity of their results. Therefore, future studies that acknowledge the methodological limitations of existing literature will help to establish a better understanding of the usefulness of applying deep learning in dentistry.",Corbella S; Srinivas S; Cabitza F,S2212-4403(20)31321-3 [pii] 10.1016/j.oooo.2020.11.003 [doi],2,"Oral surgery, oral medicine, oral pathology and oral radiology",United States,2212-4411 (Electronic),"*Artificial Intelligence; *Deep Learning; Dentistry; Humans; Image Processing, Computer-Assisted; Reproducibility of Results",eng,33303419,225-238,2021 Aug,Journal Article; Review,Applications of deep learning in dentistry.,132
N/A,Katebzadeh S; Nguyen PR; Puranik CP,10.1002/jdd.13767 [doi],N/A,Journal of dental education,United States,1930-7837 (Electronic) 0022-0337 (Linking),N/A,eng,39543832,N/A,2024 Nov 14,Journal Article,Can artificial intelligence develop high-quality simulated pediatric dental cases?,N/A
"BACKGROUND: Recent years have witnessed an explosive surge in dental research related to artificial intelligence (AI). These applications have optimised dental workflows, demonstrating significant clinical importance. Understanding the current landscape and trends of this topic is crucial for both clinicians and researchers to utilise and advance this technology. However, a comprehensive scientometric study regarding this field had yet to be performed. METHODS: A literature search was conducted in the Web of Science Core Collection database to identify eligible ""research articles"" and ""reviews."" Literature screening and exclusion were performed by 2 investigators. Thereafter, VOSviewer was utilised in co-occurrence analysis and CiteSpace in co-citation analysis. R package Bibliometrix was employed to automatically calculate scientific impacts, determining the core authors and journals. Altmetric data were described narratively and supplemented with Spearman correlation analysis. RESULTS: A total of 1558 research publications were included. During the past 5 years, AI-related dental publications drastically increased in number, from 36 to 581. Diagnostics and Scientific Reports published the most articles, whereas Journal of Dental Research received the highest number of citations per article. China, the US, and South Korea emerged as the most prolific countries, whilst Germany received the highest number of citations per article (23.29). Charite Universitatsmedizin Berlin was the institution with the highest number of publications and citations per article (29.16). Altmetric Attention Score was correlated with News Mentions (P < .001), and significant associations were observed amongst Dimension Citations, Mendeley Readers, and Web of Science Citations (P < .001). CONCLUSIONS: The publication numbers regarding AI-related dental research have been rising rapidly and may continue their upwards trend. China, the US, South Korea, and Germany had promoted the progress of AI-related dental research. Disease diagnosis, orthodontic applications, and morphology segmentation were current hotspots. Attention mechanism, explainable AI, multimodal data fusion, and AI-generated text assistants necessitate future research and exploration.",Lu W; Yu X; Li Y; Cao Y; Chen Y; Hua F,S0020-6539(24)01415-1 [pii] 10.1016/j.identj.2024.08.004 [doi],1,International dental journal,England,1875-595X (Electronic) 0020-6539 (Print) 0020-6539 (Linking),*Bibliometrics; *Artificial Intelligence; *Dental Research; Humans,eng,39266401,166-175,2025 Feb,Journal Article,Artificial Intelligence-Related Dental Research: Bibliometric and Altmetric Analysis.,75
"As new technologies emerge, they continue to have an impact on our daily lives, and artificial intelligence (AI) covers a wide range of applications. Because of the advancements in AI, it is now possible to analyse large amounts of data, which results in more accurate data and more effective decision-making. This article explains the fundamentals of AI and examines its development and present use. AI technology has had an impact on the healthcare sector as a result of the need for accurate diagnosis and improved patient care. An overview of the existing AI applications in clinical dentistry was provided. Comprehensive care involving artificial intelligence aims to provide cutting-edge research and innovations, as well as high-quality patient care, by enabling sophisticated decision support tools. The cornerstone of AI advancement in dentistry is creative inter-professional coordination among medical professionals, scientists, and engineers. Artificial intelligence will continue to be associated with dentistry from a wide angle despite potential misconceptions and worries about patient privacy. This is because precise treatment methods and quick data sharing are both essential in dentistry. Additionally, these developments will make it possible for patients, academicians, and healthcare professionals to exchange large data on health as well as provide insights that enhance patient care.",Rajaram Mohan K; Mathew Fenn S,10.7759/cureus.38711 [doi] e38711,5,Cureus,United States,2168-8184 (Print) 2168-8184 (Electronic) 2168-8184 (Linking),N/A,eng,37292569,e38711,2023 May,Journal Article; Review,Artificial Intelligence and Its Theranostic Applications in Dentistry.,15
"Innovative computer techniques are starting to be employed not only in academic research, but also in commercial production, finding use in many areas of dentistry. This is conducive to the digitalization of dentistry and its increasing treatment and diagnostic demands. In many areas of dentistry, such as orthodontics and maxillofacial surgery, but also periodontics or prosthetics, only a correct diagnosis ensures the correct treatment plan, which is the only way to restore the patient's health. The diagnosis and treatment plan is based on the specialist's knowledge, but is subject to a large, multi-factorial risk of error. Therefore, the introduction of multiparametric pattern recognition methods (statistics, machine learning and artificial intelligence (AI)) is a great hope for both the physicians and the patients. However, the general use of clinical decision support systems (CDSS) in a dental clinic is not yet realistic and requires work in many aspects - methodical, technological and business. The article presents a review of the latest attempts to apply AI, such as CDSS or genetic algorithms (GAs) in research and clinical dentistry, taking under consideration all of the main dental specialties. Work on the introduction of public CDSS has been continued for years. The article presents the latest achievements in this field, analyzing their real-life application and credibility.",Machoy ME; Szyszka-Sommerfeld L; Vegh A; Gedrange T; Wozniak K,10.17219/acem/115083 [doi],3,Advances in clinical and experimental medicine : official organ Wroclaw Medical University,Poland,1899-5276 (Print) 1899-5276 (Linking),Dentistry/*trends; Humans; *Machine Learning,eng,32207586,375-384,2020 Mar,Journal Article; Review,The ways of using machine learning in dentistry.,29
"Artificial intelligence (AI) has significantly impacted numerous industries, including health care, dentistry, and specifically prosthodontics. This review focuses on AI's role in prosthodontics, detailing its use in diagnosis, design, and manufacturing. AI-driven systems analyze intraoral scans, improve prosthetic planning, and aid in robotic procedures. Emerging technologies, such as generative AI for prosthetic design and AI-driven material innovation, are discussed alongside the ethical and regulatory challenges facing broader adoption. The review highlights AI's potential to transform prosthodontic workflows, facilitating more accurate, efficient, and personalized care, while also pointing to future developments such as real-time monitoring and enhanced collaboration platforms.",Schwendicke F; Mohammad Rahimi H; Tichy A,S0011-8532(24)00095-8 [pii] 10.1016/j.cden.2024.11.009 [doi],2,Dental clinics of North America,United States,1558-0512 (Electronic) 0011-8532 (Linking),*Artificial Intelligence; Humans; *Prosthodontics/methods; Dental Prosthesis Design/methods; Computer-Aided Design,eng,40044292,315-326,2025 Apr,Journal Article; Review,Artificial Intelligence in Prosthodontics.,69
N/A,Sultan S,S0022-3913(25)00049-6 [pii] 10.1016/j.prosdent.2024.12.029 [doi],N/A,The Journal of prosthetic dentistry,United States,1097-6841 (Electronic) 0022-3913 (Linking),N/A,eng,39924432,N/A,2025 Feb 8,Letter,"Letter to the Editor regarding, ""Evaluation of accuracy of deep learning and conventional neural network algorithms in detection of dental implant type using intraoral radiographic images: A systematic review and meta-analysis"" by Dashti et al.",N/A
"The increasing storage of information, data, and forms of knowledge has led to the development of new technologies that can help to accomplish complex tasks in different areas, such as in dentistry. In this context, the role of computational methods, such as radiomics and Artificial Intelligence (AI) applications, has been progressing remarkably for dentomaxillofacial radiology (DMFR). These tools bring new perspectives for diagnosis, classification, and prediction of oral diseases, treatment planning, and for the evaluation and prediction of outcomes, minimizing the possibilities of human errors. A comprehensive review of the state-of-the-art of using radiomics and machine learning (ML) for imaging in oral healthcare is presented in this paper. Although the number of published studies is still relatively low, the preliminary results are very promising and in a near future, an augmented dentomaxillofacial radiology (ADMFR) will combine the use of radiomics-based and AI-based analyses with the radiologist's evaluation. In addition to the opportunities and possibilities, some challenges and limitations have also been discussed for further investigations.",Leite AF; Vasconcelos KF; Willems H; Jacobs R,10.1002/prca.201900040 [doi],3,Proteomics. Clinical applications,Germany,1862-8354 (Electronic) 1862-8346 (Linking),"Delivery of Health Care/*methods; Humans; Image Processing, Computer-Assisted/*methods; *Machine Learning; *Oral Health",eng,31950592,e1900040,2020 May,"Journal Article; Research Support, Non-U.S. Gov't; Review",Radiomics and Machine Learning in Oral Healthcare.,14
"Artificial intelligence (AI) is a subdiscipline of computer science that has made substantial progress in medicine and there is a growing body of AI research in dentistry. Dentists should have an understanding of the foundational concepts and the ability to critically evaluate dental research in AI. Machine learning (ML) is a subfield of AI that most dental AI research is dedicated to. The most prolific area of ML research is automated interpretation of dental imaging. Other areas include providing treatment recommendations, predicting future disease and treatment outcomes. The research impact is limited by small datasets that do not harness the positive correlation between very large datasets and ML performance. There is also a need to standardize research methodologies and utilize performance metrics that are appropriate for the clinical context. In addition to research challenges, this article discusses the ethical, legal and logistical considerations associated with implementation in clinical practice. This includes explainable AI, model bias, data privacy and security. The future implications of AI in dentistry involve a promise for a novel form of practicing dentistry however, the effect of AI on patient outcomes is yet to be determined.",Pethani F,10.1111/adj.12812 [doi],2,Australian dental journal,Australia,1834-7819 (Electronic) 0045-0421 (Linking),*Artificial Intelligence; Dentistry; *Diagnostic Imaging; Forecasting; Humans,eng,33340123,124-135,2021 Jun,Journal Article; Review,Promises and perils of artificial intelligence in dentistry.,66
"""Narrow"" artificial intelligence (AI), as opposed to ""general"" AI, keenly focuses on a single task and performs that task extremely well, such that it is capable of matching expert human performance in quality and far surpassing it in speed. Moreover, narrow AI uncomplainingly accepts tasks that people typically do not want to do, get tired of doing, or make mistakes doing. The AI that is projected to transform dentistry is narrow AI. It is anticipated that AI will bring similar efficiencies to dentistry as those seen in other healthcare areas. Factors that make the dental profession ripe for AI growth include the entrepreneurial and consumer-oriented nature of the profession, the fact that the focus of care is concentrated on a single area of the body, and the rising rate of practice consolidation. One of the effects of AI that is expected to improve patient care is increased consistency in dental diagnoses and treatment. This article provides a general overview of AI and its anticipated impact on the future of dentistry.",Stanley K,N/A,5,"Compendium of continuing education in dentistry (Jamesburg, N.J. : 1995)",United States,2158-1797 (Electronic) 1548-8578 (Linking),Humans; *Artificial Intelligence; Forecasting; *Dentistry,eng,37134289,250-253; quiz 254,2023 May,Journal Article,Artificial Intelligence and the Future of Dentistry.,44
"OBJECTIVES: Despite deep learning's wide adoption in dental artificial intelligence (AI) research, researchers from other dental fields and, more so, dental professionals may find it challenging to understand and interpret deep learning studies, their employed methods, and outcomes. The objective of this primer is to explain the basic concept of deep learning. It will lay out the commonly used terms, and describe different deep learning approaches, their methods, and outcomes. METHODS: Our research is based on the latest review studies, medical primers, as well as the state-of-the-art research on AI and deep learning, which have been gathered in the current study. RESULTS: In this study, a basic understanding of deep learning models and various approaches to deep learning is presented. An overview of data management strategies for deep learning projects is presented, including data collection, data curation, data annotation, and data preprocessing. Additionally, we provided a step-by-step guide for completing a real-world project. CONCLUSION: Researchers and clinicians can benefit from this study by gaining insight into deep learning. It can be used to critically appraise existing work or plan new deep learning projects. CLINICAL SIGNIFICANCE: This study may be useful to dental researchers and professionals who are assessing and appraising deep learning studies within the field of dentistry.",Mohammad-Rahimi H; Rokhshad R; Bencharit S; Krois J; Schwendicke F,S0300-5712(23)00022-2 [pii] 10.1016/j.jdent.2023.104430 [doi],N/A,Journal of dentistry,England,1879-176X (Electronic) 0300-5712 (Linking),Humans; *Artificial Intelligence; *Deep Learning; Dentists,eng,36682721,104430,2023 Mar,Journal Article; Review,Deep learning: A primer for dentists and dental researchers.,130
"The last decennary has marked as the breakthrough in the advancement of technology with evolution of artificial intelligence, which is rapidly gaining the attention of researchers across the globe. Every field opted artificial intelligence with huge enthusiasm and so the field of dental science is no exception. With huge increases in patient documented information and data this is the need of the hour to use intelligent software to compile and save this data. From the basic step of taking a patient's history to data processing and then to extract the information from the data for diagnosis, artificial intelligence has many applications in dental and medical science. While in no case artificial intelligence can replace the role of a dental surgeon but it is important to be acquainted with the scope to amalgamate this advancement of technology in future for betterment of dental practice.",Tandon D; Rajawat J,10.1016/j.jobcr.2020.07.015 [doi],4,Journal of oral biology and craniofacial research,Netherlands,2212-4268 (Print) 2212-4276 (Electronic) 2212-4268 (Linking),N/A,eng,32775180,391-396,2020 Oct-Dec,Journal Article; Review,Present and future of artificial intelligence in dentistry.,10
