pmid,title,authors,journal,publication_date,doi,abstract,keywords,url
30315284,Artificial Intelligence-Assisted Gastroenterology- Promises and Pitfalls.,"Ruffle JK, Farmer AD, Aziz Q",The American journal of gastroenterology,2019 Mar,10.1038/s41395-018-0268-4,"Technological advances in artificial intelligence (AI) represent an enticing opportunity to benefit gastroenterological practice. Moreover, AI, through machine or deep learning, permits the ability to develop predictive models from large datasets. Possibilities of predictive model development in machine learning are numerous dependent on the clinical question. For example, binary classifiers aim to stratify allocation to a categorical outcome, such as the presence or absence of a gastrointestinal disease. In addition, continuous variable fitting techniques can be used to predict quantity of a therapeutic response, thus offering a tool to predict which therapeutic intervention may be most beneficial to the given patient. Namely, this permits an important opportunity for personalization of medicine, including a movement from guideline-specific treatment algorithms to patient-specific ones, providing both clinician and patient the capacity for data-driven decision making. Furthermore, such analyses could predict the development of GI disease prior to the manifestation of symptoms, raising the possibility of prevention or pre-treatment. In addition, computer vision additionally provides an exciting opportunity in endoscopy to automatically detect lesions. In this review, we overview the recent developments in healthcare-based AI and machine learning and describe promises and pitfalls for its application to gastroenterology.",,https://pubmed.ncbi.nlm.nih.gov/30315284/
36682721,Deep learning: A primer for dentists and dental researchers.,"Mohammad-Rahimi H, Rokhshad R, Bencharit S, Krois J, Schwendicke F",Journal of dentistry,2023 Mar,10.1016/j.jdent.2023.104430,"Despite deep learning's wide adoption in dental artificial intelligence (AI) research, researchers from other dental fields and, more so, dental professionals may find it challenging to understand and interpret deep learning studies, their employed methods, and outcomes. The objective of this primer is to explain the basic concept of deep learning. It will lay out the commonly used terms, and describe different deep learning approaches, their methods, and outcomes. Our research is based on the latest review studies, medical primers, as well as the state-of-the-art research on AI and deep learning, which have been gathered in the current study. In this study, a basic understanding of deep learning models and various approaches to deep learning is presented. An overview of data management strategies for deep learning projects is presented, including data collection, data curation, data annotation, and data preprocessing. Additionally, we provided a step-by-step guide for completing a real-world project. Researchers and clinicians can benefit from this study by gaining insight into deep learning. It can be used to critically appraise existing work or plan new deep learning projects. This study may be useful to dental researchers and professionals who are assessing and appraising deep learning studies within the field of dentistry.",,https://pubmed.ncbi.nlm.nih.gov/36682721/
38269714,Deep Learning for Midfacial Fracture Detection in CT Images.,"Warin K, Vicharueang S, Jantana P, Limprasert W, Thanathornwong B, Suebnukarn S",Studies in health technology and informatics,2024 Jan 25,10.3233/SHTI231262,"This study deploys the deep learning-based object detection algorithms to detect midfacial fractures in computed tomography (CT) images. The object detection models were created using faster R-CNN and RetinaNet from 2,000 CT images. The best detection model, faster R-CNN, yielded an average precision of 0.79 and an area under the curve (AUC) of 0.80. In conclusion, faster R-CNN model has good potential for detecting midfacial fractures in CT images.",,https://pubmed.ncbi.nlm.nih.gov/38269714/
35091121,Artificial intelligence for oral and maxillo-facial surgery: A narrative review.,"Rasteau S, Ernenwein D, Savoldelli C, Bouletreau P","Journal of stomatology, oral and maxillofacial surgery",2022 Jun,10.1016/j.jormas.2022.01.010,"Artificial Intelligence (AI) is a set of technologies that simulate human cognition in order to address a specific problem. The improvement in computing speed, the exponential production and the routine collection of data have led to the rapid development of AI in the health sector. In this review, we propose to provide surgeons with the essential technical elements to help them understand the possibilities offered by AI and to review the current applications of AI for oral and maxillofacial surgery (OMFS). The review of the literature reveals a real research boom of AI in all fields in OMFS. The algorithms used are related to machine learning, with a strong representation of the convolutional neural networks specific to deep learning. The complex architecture of these networks gives them the capacity to extract and process the elementary characteristics of an image, and they are therefore particularly used for diagnostic purposes on medical imagery or facial photography. We identified representative articles dealing with AI algorithms providing assistance in diagnosis, therapeutic decision, preoperative planning, or prediction and evaluation of the outcomes. Thanks to their learning, classification, prediction and detection capabilities, AI algorithms complement human skills while limiting their imperfections. However, these algorithms should be subject to rigorous clinical evaluation, and ethical reflection on data protection should be systematically conducted.",,https://pubmed.ncbi.nlm.nih.gov/35091121/
33394536,Application of artificial intelligence and machine learning for prediction of oral cancer risk.,"Alhazmi A, Alhazmi Y, Makrami A, Masmali A, Salawi N, Masmali K, Patil S",Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,2021 May,10.1111/jop.13157,"Oral cancer requires early diagnosis and treatment to increase the chances of survival. This study aimed to develop an artificial neural network model that helps to predict the individuals' risk of developing oral cancer based on data on risk factors, systematic medical condition, and clinic-pathological features. A popular data mining algorithm artificial neural network was used for developing the artificial intelligence-based prediction model. A total of 29 variables that were associated with the patients were used for developing the model. The dataset was randomly split into the training dataset 54 (75%) cases and testing dataset 19 (25%) cases. All records and observations were reviewed by Board-certified oral pathologist. A total of 73 patients met the eligibility criteria. Twenty-two (30.13%) were benign cases, and 51 (69.86%) were malignant cases. Thirty-seven were female, and 36 were male, with a mean age of 63.09&#xa0;years. Our analysis displayed that the average sensitivity and specificity of ANN for oral cancer prediction based on the 10-fold cross-validation analysis was 85.71% (95% confidence interval [CI], 57.19-98.22) and 60.00% (95% CI, 14.66-94.73), respectively. The accuracy of ANN for oral cancer prediction was 78.95% (95% CI, 54.43-931.95). Our results suggest that this machine-learning technique has the potential to help in oral cancer screening and diagnosis based on the datasets. The results demonstrate that the artificial neural network could perform well in estimating the probability of malignancy and improve the positive predictive value that could help to predict the individuals' risk of developing OC based on knowledge of their risk factors, systemic medical conditions, and clinic-pathological data.",,https://pubmed.ncbi.nlm.nih.gov/33394536/
35803558,Applications of artificial intelligence and machine learning in orthognathic surgery: A scoping review.,"Mohaideen K, Negi A, Verma DK, Kumar N, Sennimalai K, Negi A","Journal of stomatology, oral and maxillofacial surgery",2022 Nov,10.1016/j.jormas.2022.06.027,"Over the recent years, Artificial Intelligence (AI) has been progressing rapidly with its ability to mimic human cognitive functions. The potential applications of AI technology in diagnosis, treatment planning, and prognosis prediction have been demonstrated in various studies. The present scoping review aimed to provide an overview of AI and Machine Learning (ML) algorithms and their applications in orthognathic surgery. A comprehensive search was conducted in databases including PubMed, Embase, Scopus, Web of Science and OVID Medline until November 2021. This scoping review was conducted following the PRISMA-ScR guidelines. After applying the inclusion and exclusion criteria, a total of 19 studies were included for final review. AI has profoundly impacted the diagnosis and prediction of orthognathic surgeries with a clinically acceptable accuracy range. Furthermore, AI reduces the work burden of the clinician by eliminating the tedious registration procedures, thereby helping in efficient and automated planning. However, focussing on the research gaps, there is a need to foster the AI models/algorithms to contemporize their efficiency in clinical decision making, diagnosis and surgical planning in future studies.",,https://pubmed.ncbi.nlm.nih.gov/35803558/
35581039,The Effectiveness of Artificial Intelligence in Detection of Oral Cancer.,"Al-Rawi N, Sultan A, Rajai B, Shuaeeb H, Alnajjar M, Alketbi M, Mohammad Y, Shetty SR, Mashrah MA",International dental journal,2022 Aug,10.1016/j.identj.2022.03.001,"The early detection of oral cancer (OC) at the earliest stage significantly increases survival rates. Recently, there has been an increasing interest in the use of artificial intelligence (AI) technologies in diagnostic medicine. This study aimed to critically analyse the available evidence concerning the utility of AI in the diagnosis of OC. Special consideration was given to the diagnostic accuracy of AI and its ability to identify the early stages of OC. From the date of inception to December 2021, 4 databases (PubMed, Scopus, EBSCO, and OVID) were searched. Three independent authors selected studies on the basis of strict inclusion criteria. The risk of bias and applicability were assessed using the prediction model risk of bias assessment tool. Of the 606 initial records, 17 studies with a total of 7245 patients and 69,425 images were included. Ten statistical methods were used to assess AI performance in the included studies. Six studies used supervised machine learning, whilst 11 used deep learning. The results of deep learning ranged with an accuracy of 81% to 99.7%, sensitivity 79% to 98.75%, specificity 82% to 100%, and area under the curve (AUC) 79% to 99.5%. Results obtained from supervised machine learning demonstrated an accuracy ranging from 43.5% to 100%, sensitivity of 94% to 100%, specificity 16% to 100%, and AUC of 93%. There is no clear consensus regarding the best AI method for OC detection. AI is a valuable diagnostic tool that represents a large evolutionary leap in the detection of OC in its early stages. Based on the evidence, deep learning, such as a deep convolutional neural network, is more accurate in the early detection of OC compared to supervised machine learning.",,https://pubmed.ncbi.nlm.nih.gov/35581039/
39206581,Artificial Intelligence in Dental Caries Diagnosis and Detection: An Umbrella Review.,"Negi S, Mathur A, Tripathy S, Mehta V, Snigdha NT, Adil AH, Karobari MI",Clinical and experimental dental research,2024 Aug,10.1002/cre2.70004,"Dental caries is largely preventable, yet an important global health issue. Numerous systematic reviews have summarized the efficacy of artificial intelligence (AI) models for the diagnosis and detection of dental caries. Therefore, this umbrella review aimed to synthesize the results of systematic reviews on the application and effectiveness of AI models in diagnosing and detecting dental caries. MEDLINE/PubMed, IEEE Explore, Embase, and Cochrane Database of Systematic Reviews were searched to retrieve studies. Two authors independently screened the articles based on eligibility criteria and then, appraised the included articles. The findings are summarized in tabulation form and discussed using the narrative method. A total of 1249 entries were identified out of which 7 were finally included. The most often employed AI algorithms were the multilayer perceptron, support vector machine (SVM), and neural networks. The algorithms were built to perform the segmentation, classification, caries detection, diagnosis, and caries prediction from several sources, including periapical radiographs, panoramic radiographs, smartphone images, bitewing radiographs, near-infrared light transillumination images, and so forth. Convoluted neural networks (CNN) demonstrated high sensitivity, specificity, and area under the curve in the caries detection, segmentation, and classification tests. Notably, AI in conjunction with periapical and panoramic radiography images yielded better accuracy in detecting and diagnosing dental caries. AI models, especially convolutional neural network (CNN)-based models, have an enormous amount of potential for accurate, objective dental caries diagnosis and detection. However, ethical considerations and cautious adoption remain critical to its successful integration into routine practice.",,https://pubmed.ncbi.nlm.nih.gov/39206581/
37670290,Intra-oral scan segmentation using deep learning.,"Vinayahalingam S, Kempers S, Schoep J, Hsu TH, Moin DA, van Ginneken B, Flügge T, Hanisch M, Xi T",BMC oral health,2023 Sep 5,10.1186/s12903-023-03362-8,"Intra-oral scans and gypsum cast scans (OS) are widely used in orthodontics, prosthetics, implantology, and orthognathic surgery to plan patient-specific treatments, which require teeth segmentations with high accuracy and resolution. Manual teeth segmentation, the gold standard up until now, is time-consuming, tedious, and observer-dependent. This study aims to develop an automated teeth segmentation and labeling system using deep learning. As a reference, 1750 OS were manually segmented and labeled. A deep-learning approach based on PointCNN and 3D U-net in combination with a rule-based heuristic algorithm and a combinatorial search algorithm was trained and validated on 1400 OS. Subsequently, the trained algorithm was applied to a test set consisting of 350 OS. The intersection over union (IoU), as a measure of accuracy, was calculated to quantify the degree of similarity between the annotated ground truth and the model predictions. The model achieved accurate teeth segmentations with a mean IoU score of 0.915. The FDI labels of the teeth were predicted with a mean accuracy of 0.894. The optical inspection showed excellent position agreements between the automatically and manually segmented teeth components. Minor flaws were mostly seen at the edges. The proposed method forms a promising foundation for time-effective and observer-independent teeth segmentation and labeling on intra-oral scans. Deep learning may assist clinicians in virtual treatment planning in orthodontics, prosthetics, implantology, and orthognathic surgery. The impact of using such models in clinical practice should be explored.",,https://pubmed.ncbi.nlm.nih.gov/37670290/
31401617,Intelligent Imaging: Anatomy of Machine Learning and Deep Learning.,Currie G,Journal of nuclear medicine technology,2019 Dec,10.2967/jnmt.119.232470,"The emergence of artificial intelligence (AI) in nuclear medicine and radiology has been accompanied by AI commentators and experts predicting that AI would make radiologists, in particular, extinct. More realistic perspectives suggest significant changes will occur in medical practice. There is no escaping the disruptive technology associated with AI, neural networks, and deep learning, the most significant perhaps since the early days of Roentgen, Becquerel, and Curie. AI is an omen, but it need not be foreshadowing a negative event; rather, it is heralding great opportunity. The key to sustainability lies not in resisting AI but in having a deep understanding and exploiting the capabilities of AI in nuclear medicine while mastering those capabilities unique to the human resources.",,https://pubmed.ncbi.nlm.nih.gov/31401617/
38757865,Deep learning for temporomandibular joint arthropathies: A systematic review and meta-analysis.,"Rokhshad R, Mohammad-Rahimi H, Sohrabniya F, Jafari B, Shobeiri P, Tsolakis IA, Ourang SA, Sultan AS, Khawaja SN, Bavarian R, Palomo JM",Journal of oral rehabilitation,2024 Aug,10.1111/joor.13701,"The accurate diagnosis of temporomandibular disorders continues to be a challenge, despite the existence of internationally agreed-upon diagnostic criteria. The purpose of this study is to review applications of deep learning models in the diagnosis of temporomandibular joint arthropathies. An electronic search was conducted on PubMed, Scopus, Embase, Google Scholar, IEEE, arXiv, and medRxiv up to June 2023. Studies that reported the efficacy (outcome) of prediction, object detection or classification of TMJ arthropathies by deep learning models (intervention) of human joint-based or arthrogenous TMDs (population) in comparison to reference standard (comparison) were included. To evaluate the risk of bias, included studies were critically analysed using the quality assessment of diagnostic accuracy studies (QUADAS-2). Diagnostic odds ratios (DOR) were calculated. Forrest plot and funnel plot were created using STATA 17 and MetaDiSc. Full text review was performed on 46 out of the 1056 identified studies and 21 studies met the eligibility criteria and were included in the systematic review. Four studies were graded as having a low risk of bias for all domains of QUADAS-2. The accuracy of all included studies ranged from 74% to 100%. Sensitivity ranged from 54% to 100%, specificity: 85%-100%, Dice coefficient: 85%-98%, and AUC: 77%-99%. The datasets were then pooled based on the sensitivity, specificity, and dataset size of seven studies that qualified for meta-analysis. The pooled sensitivity was 95% (85%-99%), specificity: 92% (86%-96%), and AUC: 97% (96%-98%). DORs were 232 (74-729). According to Deek's funnel plot and statistical evaluation (p&#x2009;=.49), publication bias was not present. Deep learning models can detect TMJ arthropathies high sensitivity and specificity. Clinicians, and especially those not specialized in orofacial pain, may benefit from this methodology for assessing TMD as it facilitates a rigorous and evidence-based framework, objective measurements, and advanced analysis techniques, ultimately enhancing diagnostic accuracy.",,https://pubmed.ncbi.nlm.nih.gov/38757865/
37465748,Introducing medical students to deep learning through image labelling: a new approach to meet calls for greater artificial intelligence fluency among medical trainees.,"Tschirhart J, Woolsey A, Skinner J, Ahmed K, Fleming C, Kim J, Dave C, Arntfield R",Canadian medical education journal,2023 Jun,10.36834/cmej.75074,"Our approach addresses the urgent need for AI experience for the doctors of tomorrow. Through a medical education-focused approach to data labelling, we have fostered medical student competence in medical imaging and AI. We envision our framework being applied at other institutions and academic groups to develop robust labelling programs for research endeavours. Application of our approach to core visual modalities within medicine (e.g. interpretation of ECGs, diagnostic imaging, dermatologic findings) can lead to valuable student experience and competence in domains that feature prominently in clinical practice, while generating much needed data in fields that are ripe for AI integration. Notre approche r&#xe9;pond au besoin urgent de familiariser les m&#xe9;decins de demain avec l&#x2019;IA. Nous avons cherch&#xe9; &#xe0; d&#xe9;velopper leurs comp&#xe9;tences en imagerie m&#xe9;dicale et en IA par une approche &#xe0; l&#x2019;&#xe9;tiquetage de donn&#xe9;es ax&#xe9;e sur la formation m&#xe9;dicale. D&#x2019;autres &#xe9;tablissements et groupes universitaires souhaitant mettre sur pied des programmes d&#x2019;&#xe9;tiquetage solides pour leurs projets de recherche pourraient adopter notre mod&#xe8;le. L&#x2019;application de notre approche aux principales modalit&#xe9;s visuelles en m&#xe9;decine (par exemple, l&#x2019;interpr&#xe9;tation des ECG, l&#x2019;imagerie diagnostique, le diagnostic des l&#xe9;sions dermatologiques) peut permettre aux &#xe9;tudiants d&#x2019;acqu&#xe9;rir une exp&#xe9;rience et des comp&#xe9;tences pr&#xe9;cieuses dans des domaines importants de la pratique clinique, tout en procurant des donn&#xe9;es indispensables dans des secteurs qui sont m&#xfb;rs pour une int&#xe9;gration de l&#x2019;IA.",,https://pubmed.ncbi.nlm.nih.gov/37465748/
35588660,Medical deep learning-A systematic meta-review.,"Egger J, Gsaxner C, Pepe A, Pomykala KL, Jonske F, Kurz M, Li J, Kleesiek J",Computer methods and programs in biomedicine,2022 Jun,10.1016/j.cmpb.2022.106874,"Deep learning has remarkably impacted several different scientific disciplines over the last few years. For example, in image processing and analysis, deep learning algorithms were able to outperform other cutting-edge methods. Additionally, deep learning has delivered state-of-the-art results in tasks like autonomous driving, outclassing previous attempts. There are even instances where deep learning outperformed humans, for example with object recognition and gaming. Deep learning is also showing vast potential in the medical domain. With the collection of large quantities of patient records and data, and a trend towards personalized treatments, there is a great need for automated and reliable processing and analysis of health information. Patient data is not only collected in clinical centers, like hospitals and private practices, but also by mobile healthcare apps or online websites. The abundance of collected patient data and the recent growth in the deep learning field has resulted in a large increase in research efforts. In Q2/2020, the search engine PubMed returned already over 11,000 results for the search term 'deep learning', and around 90% of these publications are from the last three years. However, even though PubMed represents the largest search engine in the medical field, it does not cover all medical-related publications. Hence, a complete overview of the field of 'medical deep learning' is almost impossible to obtain and acquiring a full overview of medical sub-fields is becoming increasingly more difficult. Nevertheless, several review and survey articles about medical deep learning have been published within the last few years. They focus, in general, on specific medical scenarios, like the analysis of medical images containing specific pathologies. With these surveys as a foundation, the aim of this article is to provide the first high-level, systematic meta-review of medical deep learning surveys.",,https://pubmed.ncbi.nlm.nih.gov/35588660/
33509366,"Intelligent Imaging in Nuclear Medicine: the Principles of Artificial Intelligence, Machine Learning and Deep Learning.","Currie G, Rohren E",Seminars in nuclear medicine,2021 Mar,10.1053/j.semnuclmed.2020.08.002,"The emergence of artificial intelligence (AI) in nuclear medicine has occurred over the last 50 years but more recent developments in machine learning (ML) and deep learning (DL) have driven new capabilities of AI in nuclear medicine. In nuclear medicine, the artificial neural network (ANN) is the backbone of ML and DL. The inputs may be radiomic features that have been extracted from the image files or, if using a convolutional neural network (CNN), may be the images themselves. AI in nuclear medicine re-engineers and re-imagines clinical and research capabilities. An understanding of the principles of AI, ML and DL contextualised to nuclear medicine allows richer engagement in clinical and research applications, and capacity for problem solving where required. Simple applications of ML include quality assurance, risk assessment, business analytics and rudimentary classifications. More complex applications of DL for detection, localisation, classification, segmentation, quantitation and radiomic feature extraction using CNNs can be applied to general nuclear medicine, SPECT, PET, CT and MRI. There are also applications of ANNs and ML that allow small datasets (and larger ones) to be analysed in parallel to conventional statistical analysis. AI has assimilated into the clinical and research practice of nuclear medicine with little disruption. The emergence of ML and DL applications, however, has produced a seismic significant shift in the clinical and research landscape that demands at least rudimentary understanding of the principles of AI, ANNs and CNNs among nuclear medicine professionals.",,https://pubmed.ncbi.nlm.nih.gov/33509366/
35438326,Potential and impact of artificial intelligence algorithms in dento-maxillofacial radiology.,"Hung KF, Ai QYH, Leung YY, Yeung AWK",Clinical oral investigations,2022 Sep,10.1007/s00784-022-04477-y,"Novel artificial intelligence (AI) learning algorithms in dento-maxillofacial radiology (DMFR) are continuously being developed and improved using advanced convolutional neural networks. This review provides an overview of the potential and impact of AI algorithms in DMFR. A narrative review was conducted on the literature on AI algorithms in DMFR. In the field of DMFR, AI algorithms were mainly proposed for (1) automated detection of dental caries, periapical pathologies, root fracture, periodontal/peri-implant bone loss,&#xa0;and maxillofacial cysts/tumors; (2) classification of mandibular third molars, skeletal malocclusion, and dental implant systems; (3) localization of cephalometric landmarks; and (4) improvement of image quality. Data insufficiency, overfitting, and the lack of interpretability are the main issues in the development and use of image-based AI algorithms. Several strategies have been suggested to address these issues, such as data augmentation, transfer learning, semi-supervised training, few-shot learning, and gradient-weighted class activation mapping. Further integration of relevant AI algorithms into one fully automatic end-to-end intelligent system for possible multi-disciplinary applications is very likely to be a field of increased interest in the future. This review provides dental practitioners and researchers with a comprehensive understanding of the current development, performance, issues, and prospects of image-based AI algorithms in DMFR.",,https://pubmed.ncbi.nlm.nih.gov/35438326/
38467177,Application of artificial intelligence in dental implant prognosis: A scoping review.,"Wu Z, Yu X, Wang F, Xu C",Journal of dentistry,2024 May,10.1016/j.jdent.2024.104924,"The purpose of this scoping review was to evaluate the performance of artificial intelligence (AI) in the prognosis of dental implants. Studies that analyzed the performance of AI models in the prediction of implant prognosis based on medical records or radiographic images. Quality assessment was conducted using the Joanna Briggs Institute (JBI) Critical Appraisal Checklist for Quasi-Experimental Studies. This scoping review included studies published in English up to October 2023 in MEDLINE/PubMed, Embase, Cochrane Library, and Scopus. A manual search was also performed. Of 892 studies, full-text analysis was conducted in 36 studies. Twelve studies met the inclusion criteria. Eight used deep learning models, 3 applied traditional machine learning algorithms, and 1 study combined both types. The performance was quantified using accuracy, sensitivity, specificity, precision, F1 score, and receiver operating characteristic area under curves (ROC AUC). The prognostic accuracy was analyzed and ranged from 70 % to 96.13 %. AI is a promising tool in evaluating implant prognosis, but further enhancements are required. Additional radiographic and clinical data are needed to improve AI performance in implant prognosis. AI can predict the prognosis of dental implants based on radiographic images or medical records. As a result, clinicians can receive predicted implant prognosis with the assistance of AI before implant placement and make informed decisions.",,https://pubmed.ncbi.nlm.nih.gov/38467177/
35399834,Uses of Different Machine Learning Algorithms for Diagnosis of Dental Caries.,"Talpur S, Azim F, Rashid M, Syed SA, Talpur BA, Khan SJ",Journal of healthcare engineering,2022,10.1155/2022/5032435,"Dental caries is one of the major oral health problems and is increasing rapidly among people of every age (children, men, and women). Deep learning, a field of Artificial Intelligence (AI), is a growing field nowadays and is commonly used in dentistry. AI is a reliable platform to make dental care better, smoother, and time-saving for professionals. AI helps the dentistry professionals to fulfil demands of patients and to ensure quality treatment and better oral health care. AI can also help in predicting failures of clinical cases and gives reliable solutions. In this way, it helps in reducing morbidity ratio and increasing quality treatment of dental problem in population. The main objective of this study is to conduct a systematic review of studies concerning the association between dental caries and machine learning. The objective of this study is to design according to the PICO criteria. A systematic search for randomized trials was conducted under the guidelines of PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses). In this study, e-search was conducted from four databases including PubMed, IEEE Xplore, Science Direct, and Google Scholar, and it involved studies from year 2008 to 2022. This study fetched a total of 133 articles, from which twelve are selected for this systematic review. We analyzed different types of machine learning algorithms from which deep learning is widely used with dental caries images dataset. Neural Network Backpropagation algorithm, one of the deep learning algorithms, gives a maximum accuracy of 99%. In this systematic review, we concluded how deep learning has been applied to the images of teeth to diagnose the detection of dental caries with its three types (proximal, occlusal, and root caries). Considering our findings, further well-designed studies are needed to demonstrate the diagnosis of further types of dental caries that are based on progression (chronic, acute, and arrested), which tells us about the severity of caries, virginity of lesion, and extent of caries. Apart from dental caries, AI in the future will emerge as supreme technology to detect other diseases of oral region combinedly and comprehensively because AI will easily analyze big datasets that contain multiple records.",,https://pubmed.ncbi.nlm.nih.gov/35399834/
36599081,Machine learning concepts applied to oral pathology and oral medicine: A convolutional neural networks' approach.,"Araújo ALD, da Silva VM, Kudo MS, de Souza ESC, Saldivia-Siracusa C, Giraldo-Roldán D, Lopes MA, Vargas PA, Khurram SA, Pearson AT, Kowalski LP, de Carvalho ACPLF, Santos-Silva AR, Moraes MC",Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,2023 Feb,10.1111/jop.13397,"Artificial intelligence models and networks can learn and process dense information in a short time, leading to an efficient, objective, and accurate clinical and histopathological analysis, which can be useful to improve treatment modalities and prognostic outcomes. This paper targets oral pathologists, oral medicinists, and head and neck surgeons to provide them with a theoretical and conceptual foundation of artificial intelligence-based diagnostic approaches, with a special focus on convolutional neural networks, the state-of-the-art in artificial intelligence and deep learning. The authors conducted a literature review, and the convolutional neural network's conceptual foundations and functionality were illustrated based on a unique interdisciplinary point of view. The development of artificial intelligence-based models and computer vision methods for pattern recognition in clinical and histopathological image analysis of head and neck cancer has the potential to aid diagnosis and prognostic prediction.",,https://pubmed.ncbi.nlm.nih.gov/36599081/
38448657,Deep learning methods for fully automated dental age estimation on orthopantomograms.,"Shi Y, Ye Z, Guo J, Tang Y, Dong W, Dai J, Miao Y, You M",Clinical oral investigations,2024 Mar 7,10.1007/s00784-024-05598-2,"This study aimed to use all permanent teeth as the target and establish an automated dental age estimation method across all developmental stages of permanent teeth, accomplishing all the essential steps of tooth determination, tooth development staging, and dental age assessment. A three-step framework for automatically estimating dental age was developed for children aged 3 to 15. First, a YOLOv3 network was employed to complete the tasks of tooth localization and numbering on a digital orthopantomogram. Second, a novel network named SOS-Net was established for accurate tooth development staging based on a modified Demirjian method. Finally, the dental age assessment procedure was carried out through a single-group meta-analysis utilizing the statistical data derived from our reference dataset. The performance tests showed that the one-stage YOLOv3 detection network attained an overall mean average precision 50 of 97.50 for tooth determination. The proposed SOS-Net method achieved an average tooth development staging accuracy of 82.97% for a full dentition. The dental age assessment validation test yielded an MAE of 0.72&#xa0;years with a full dentition (excluding the third molars) as its input. The proposed automated framework enhances the dental age estimation process in a fast and standard manner, enabling the reference of any accessible population. The tooth development staging network can facilitate the precise identification of permanent teeth with abnormal growth, improving the effectiveness and comprehensiveness of dental diagnoses using pediatric orthopantomograms.",,https://pubmed.ncbi.nlm.nih.gov/38448657/
34103190,"Machine learning and orthodontics, current trends and the future opportunities: A scoping review.","Mohammad-Rahimi H, Nadimi M, Rohban MH, Shamsoddin E, Lee VY, Motamedian SR","American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",2021 Aug,10.1016/j.ajodo.2021.02.013,"In recent years, artificial intelligence (AI) has been applied in various ways in medicine and dentistry. Advancements in AI technology show promising results in the practice of orthodontics. This scoping review aimed to investigate the effectiveness of AI-based models employed in orthodontic landmark detection, diagnosis, and treatment planning. A precise search of electronic databases was conducted, including PubMed, Google Scholar, Scopus, and Embase (English publications from January 2010 to July 2020). Quality Assessment and Diagnostic Accuracy Tool 2 (QUADAS-2) was used to assess the quality of the articles included in this review. After applying inclusion and exclusion criteria, 49 articles were included in the final review. AI technology has achieved state-of-the-art results in various orthodontic applications, including automated landmark detection on lateral cephalograms and photography images, cervical vertebra maturation degree determination, skeletal classification, orthodontic tooth extraction decisions, predicting the need for orthodontic treatment or orthognathic surgery, and facial attractiveness. Most of the AI models used in these applications are based on artificial neural networks. AI can help orthodontists save time and provide accuracy comparable to the trained dentists in diagnostic assessments and prognostic predictions. These systems aim to boost performance and enhance the quality of care in orthodontics. However, based on current studies, the most promising application was cephalometry landmark detection, skeletal classification, and decision making on tooth extractions.",,https://pubmed.ncbi.nlm.nih.gov/34103190/
37517787,Deep learning-based segmentation of dental implants on cone-beam computed tomography images: A validation study.,"Elgarba BM, Van Aelst S, Swaity A, Morgan N, Shujaat S, Jacobs R",Journal of dentistry,2023 Oct,10.1016/j.jdent.2023.104639,"To train and validate a cloud-based convolutional neural network (CNN) model for automated segmentation (AS) of dental implant and attached prosthetic crown on cone-beam computed tomography (CBCT) images. A total dataset of 280 maxillomandibular jawbone CBCT scans was acquired from patients who underwent implant placement with or without coronal restoration. The dataset was randomly divided into three subsets: training set (n&#xa0;=&#xa0;225), validation set (n&#xa0;=&#xa0;25) and testing set (n&#xa0;=&#xa0;30). A CNN model was developed and trained using expert-based semi-automated segmentation (SS) of the implant and attached prosthetic crown as the ground truth. The performance of AS was assessed by comparing with SS and manually corrected automated segmentation referred to as refined-automated segmentation (R-AS). Evaluation metrics included timing, voxel-wise comparison based on confusion matrix and 3D surface differences. The average time required for AS was 60 times faster (&lt;30&#xa0;s) than the SS approach. The CNN model was highly effective in segmenting dental implants both with and without coronal restoration, achieving a high dice similarity coefficient score of 0.92&#xb1;0.02 and 0.91&#xb1;0.03, respectively. Moreover, the root mean square deviation values were also found to be low (implant only: 0.08&#xb1;0.09&#xa0;mm, implant+restoration: 0.11&#xb1;0.07&#xa0;mm) when compared with R-AS, implying high AI segmentation accuracy. The proposed cloud-based deep learning tool demonstrated high performance and time-efficient segmentation of implants on CBCT images. AI-based segmentation of implants and prosthetic crowns can minimize the negative impact of artifacts and enhance the generalizability of creating dental virtual models. Furthermore, incorporating the suggested tool into existing CNN models specialized for segmenting anatomical structures can improve pre-surgical planning for implants and post-operative assessment of peri&#x2011;implant bone levels.",,https://pubmed.ncbi.nlm.nih.gov/37517787/
